tipo_operacion|last_date_load|inicial_date_load|tipo_propiedad|titulo|codigo|construye|link_publicacion|publicada|inmobiliaria|precio_clp|precio_uf|direccion|nombre_region|zona|superficie_util|dormitorios|banios|estado_proyecto|fecha_entrega|superficie_total|latitud|longitud|id_oportunidad
venta|2023-08-08|2022-11-03|departamento|Mirador 950|10577|Inmobiliaria Aconcagua|https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/10577-mirador-950-nva|Aconcagua|Aconcagua|70607392|1959|Mirador Azul 950, Plaza Vespucio, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|22.11 - 72.99 m²|1 - 3|1 - 2||01/08/2025||-33.5117513|-70.6008382|
venta|2023-01-20|2022-11-03|departamento|Valles de la Florida V|10255|ECOMAC|https://www.portalinmobiliario.com/venta/departamento/la-serena-coquimbo/10255-valles-de-la-florida-v-nva|Ecomac|Ecomac|75248817|2179|Las Orquídeas S/n Lote E, Parcela 59, Ceres, La Serena, Coquimbo|||48.82 - 52.04 m²|2 - 3|1 - 2|Entrega inmediata|||-29.9221032|-71.1975953|
venta|2023-03-10|2023-01-27|casa|O'Higgins 100|10855||https://www.portalinmobiliario.com/venta/casa/limache-valparaiso/10855-ohiggins-100-nva|identidad verificada|Grupo Vías|124602646|3500|O'higgins 100, San Francisco de Limache, Limache, Valparaíso|Valparaíso|Norte + V|70.26 - 79.1 m²|3|2 - 3|Entrega inmediata||112.73 - 126.89 m²|-32.986763|-71.2824575|
venta|2023-04-12|2022-11-03|departamento|Edificio AV|10032|Siena|https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/10032-edificio-av-nva|identidad verificada|Puerto + Arquitectura|183961479|4969|Francisco Bilbao 1449, Inés de Suárez, Providencia, RM (Metropolitana)|Metropolitana de Santiago|Centro|40.88 - 102.12 m²|1 - 3|1 - 2||1 Semestre 2024||-33.4393079|-70.6141635|
venta|2023-04-12|2022-11-03|departamento|Art City|8833||https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/8833-art-city-nva|identidad verificada|Avsa|86890238|2347|Martínez De Rozas 2363, Parque Los Reyes, Santiago, RM (Metropolitana)|Metropolitana de Santiago|Centro|33.51 - 53.78 m²|1 - 2|1 - 2|Entrega inmediata|||-33.4338374|-70.670413|
venta|2023-04-12|2022-11-03|departamento|Vicuña Mackenna 7244|10341|Pilares|https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/10341-vicuna-mackenna-7244-nva|identidad verificada|Pilares|83151033|2246|Vicuña Mackenna 7244, Plaza Vespucio, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|25.96 - 50.17 m²|1 - 2|1 - 2||2 Semestre 2024||-33.51999|-70.5995632|
venta|2023-04-12|2022-12-15|casa|Santuario de La Laguna|7739|Constructora Las Terrazas S.A.|https://www.portalinmobiliario.com/venta/casa/puerto-montt-los-lagos/7739-santuario-de-la-laguna-nva|identidad verificada|Enaco|100366184|2711|Diagonal Laguna 1 N° 4624, Valle Volcanes, Puerto Montt, Los Lagos|Los Lagos|Sur|54 - 73 m²|3|2||2 Trimestre 2024||-41.4618911|-72.8979424|
venta|2023-04-12|2022-11-03|casa|Casa Reñaca Barrio Privado|8874||https://www.portalinmobiliario.com/venta/casa/vina-del-mar-valparaiso/8874-casa-renaca-barrio-privado-nva|ISN|Isn|425380841|11490|General Bulnes 85, Reñaca, Reñaca, Viña Del Mar, Valparaíso|Valparaíso|Norte + V|140 m²|5|3||1 Semestre 2023||-32.9687308|-71.5273071|
venta|2023-04-12|2023-01-24|casa|Raíces de Peñablanca|10867||https://www.portalinmobiliario.com/venta/casa/villa-alemana-valparaiso/10867-raices-de-penablanca-nva|identidad verificada|Inmobiliaria Iv Centenario|200806412|5424|Los Boldos 351, Peñablanca, Villa Alemana, Valparaíso|Valparaíso|Norte + V|93 - 97 m²|3|3||2 Semestre 2025||-33.0609095|-71.3496762|
venta|2023-04-12|2022-11-03|casa|Reina Victoria|10296|G1 Constructora|https://www.portalinmobiliario.com/venta/casa/la-reina-metropolitana/10296-reina-victoria-nva|identidad verificada|Nuevo Barrio Inmobiliaria|614562398|16600|Reina Victoria 6330, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)|Metropolitana de Santiago|Centro|140 m²|4|3||4 Trimestre 2023||-33.4398165|-70.5672072|
venta|2023-04-12|2022-11-03|casa|Casa Lago|10171|Inmobiliaria Buenaventura|https://www.portalinmobiliario.com/venta/casa/puerto-varas-los-lagos/10171-casa-lago-nva|identidad verificada|Inmobiliaria Buenaventura|451592297|12198|Av. Vicente Pérez Rosales 1620, Puerto Chico, Puerto Varas, Los Lagos|Los Lagos|Sur|103 - 135 m²|3|2 - 3||1 Semestre 2023||-41.3281911|-72.9581629|
venta|2023-04-12|2022-11-03|departamento|Convet Edificio Vista Walker Martínez|7587|Convet|https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/7587-convet-edificio-vista-walker-martinez-nva|Convet|Convet|101810036|2750|Colombia 7584, Vicente Valdés, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|31.75 - 79.79 m²|1 - 3|1 - 2|Entrega inmediata|||-33.5232948|-70.5894724|
venta|2023-04-12|2022-11-03|departamento|Urban La Florida|8978|Ecasa Constructora|https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/8978-urban-la-florida-nva|Ecasa|Ecasa|85113190|2299|Vicuña Mackenna 7189, Plaza Vespucio, La Florida, RM (Metropolitana)|Metropolitana de Santiago|Centro|32 - 58 m²|1 - 2|1 - 2|Entrega inmediata|||-33.5202595|-70.6022313|
venta|2023-04-12|2022-11-03|departamento|Concepto Residential Park Santiago - Imagina|10030|Inmobiliaria Imagina|https://www.portalinmobiliario.com/venta/departamento/san-joaquin-metropolitana/10030-concepto-residential-park-santiago-imagina-nva|Imagina|Imagina|112176149|3030|Celia Solar 2230, Rodrigo de Araya, San Joaquín, RM (Metropolitana)|Metropolitana de Santiago|Centro|32 - 75 m²|1 - 3|1 - 2||2 Semestre 2025||-33.4721709|-70.6260621|
venta|2023-04-12|2022-11-03|departamento|Pórtico Pocuro|9151|Constructora Quinchamalí|https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/9151-portico-pocuro-nva|identidad verificada|Inmobiliaria Gensa|206766927|5585|Llewellyn Jones 1480, Las Lilas, Providencia, RM (Metropolitana)|Metropolitana de Santiago|Centro|38.59 - 117.56 m²|1 - 3|1 - 3|Entrega inmediata|||-33.4327415|-70.6007638|
venta|2023-04-12|2022-11-03|departamento|Alto Mapuhué|10769|Constructora OVAL Ltda.|https://www.portalinmobiliario.com/venta/departamento/la-pintana-metropolitana/10769-alto-mapuhue-nva|Inmobiliaria VALORARTE|Inmobiliaria Valorarte|59234930|1600|Avda Lo Blanco 2149, La Pintana, RM (Metropolitana)|Metropolitana de Santiago|Centro|46.83 - 62.01 m²|2 - 3|1 - 2||1 Semestre 2025||-33.58717|-70.6444458|
venta|2023-04-12|2022-11-03|departamento|Condominio Terranova Moraleda|8575|Cerro Bayo S.A.|https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/8575-condominio-terranova-moraleda-nva|identidad verificada|Inmobiliaria Cerro Bayo|647882046|17500|José De Moraleda 4807, Sebastián Elcano, Las Condes, RM (Metropolitana)|Metropolitana de Santiago|Centro|140.92 - 142.36 m²|3|3|Entrega inmediata|||-33.4244538|-70.5736153|
